PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1630543,Isaiah Jackson,1610612746,LAC,51,16,35,838.0,2,8,0.25,4,0,1,0.0,0.25
1630198,Isaiah Joe,1610612760,OKC,61,47,14,1335.0,43,100,0.43,108,22,62,0.355,0.54
1630587,Isaiah Livers,1610612756,PHX,34,20,14,333.0,2,10,0.2,5,1,7,0.143,0.25
1641815,Isaiah Stevens,1610612758,SAC,3,0,3,43.0,0,1,0.0,0,0,0,,0.0
1630191,Isaiah Stewart,1610612765,DET,55,39,16,1273.0,1,6,0.167,3,1,5,0.2,0.25
1627826,Ivica Zubac,1610612754,IND,48,17,31,1447.0,1,8,0.125,2,,,,0.125
1631120,JD Davison,1610612745,HOU,25,20,5,184.0,8,21,0.381,18,2,8,0.25,0.429
1629630,Ja Morant,1610612763,MEM,20,7,13,569.0,45,138,0.326,100,10,49,0.204,0.362
1642266,Ja'Kobe Walter,1610612761,TOR,58,34,24,1096.0,4,23,0.174,9,1,11,0.091,0.196
1631095,Jabari Smith Jr.,1610612745,HOU,64,38,26,2238.0,105,225,0.467,228,18,47,0.383,0.507
1631133,Jabari Walker,1610612755,PHI,57,32,25,707.0,1,5,0.2,2,0,2,0.0,0.2
1631210,Jacob Toppin,1610612737,ATL,5,3,2,17.0,1,2,0.5,2,,,,0.5
1630702,Jaden Hardy,1610612764,WAS,48,12,36,709.0,39,97,0.402,98,20,51,0.392,0.505
1631093,Jaden Ivey,1610612741,CHI,37,23,14,670.0,29,67,0.433,68,10,30,0.333,0.507
1630183,Jaden McDaniels,1610612750,MIN,68,41,27,2152.0,101,229,0.441,227,25,73,0.342,0.496
1630256,Jae'Sean Tate,1610612745,HOU,34,24,10,287.0,2,7,0.286,5,1,3,0.333,0.357
1642942,Jahmai Mashack,1610612763,MEM,24,9,15,449.0,2,13,0.154,4,0,5,0.0,0.154
1642443,Jahmir Young,1610612748,MIA,11,8,3,51.0,0,4,0.0,0,0,1,0.0,0.0
1643141,Jahmyl Telfort,1610612746,LAC,8,2,6,32.0,0,0,,0,0,0,,
1631170,Jaime Jaquez Jr.,1610612748,MIA,64,36,28,1830.0,42,114,0.368,86,2,15,0.133,0.377
1631222,Jake LaRavia,1610612747,LAL,70,45,25,1732.0,18,52,0.346,46,10,27,0.37,0.442
1627751,Jakob Poeltl,1610612761,TOR,33,20,13,845.0,0,1,0.0,0,,,,0.0
1628973,Jalen Brunson,1610612752,NYK,64,43,21,2231.0,307,701,0.438,707,93,271,0.343,0.504
1631105,Jalen Duren,1610612765,DET,59,41,18,1637.0,14,30,0.467,28,,,,0.467
1630224,Jalen Green,1610612756,PHX,22,12,10,561.0,62,159,0.39,149,25,87,0.287,0.469
1630552,Jalen Johnson,1610612737,ATL,62,36,26,2187.0,109,290,0.376,244,26,92,0.283,0.421
1629618,Jalen Pickett,1610612743,DEN,44,28,16,736.0,22,67,0.328,56,12,38,0.316,0.418
1641771,Jalen Slawson,1610612754,IND,5,0,5,128.0,1,2,0.5,2,0,0,,0.5
1630188,Jalen Smith,1610612741,CHI,51,25,26,1064.0,2,7,0.286,5,1,6,0.167,0.357
1630591,Jalen Suggs,1610612753,ORL,46,27,19,1234.0,59,197,0.299,141,23,107,0.215,0.358
1631114,Jalen Williams,1610612760,OKC,26,19,7,755.0,50,130,0.385,105,5,22,0.227,0.404
1630592,Jalen Wilson,1610612751,BKN,45,8,37,638.0,5,14,0.357,13,3,6,0.5,0.464
1631288,Jamal Cain,1610612753,ORL,27,15,12,215.0,9,17,0.529,23,5,9,0.556,0.676
1627750,Jamal Murray,1610612743,DEN,65,38,27,2273.0,264,606,0.436,651,123,295,0.417,0.537
1642347,Jamal Shead,1610612761,TOR,68,39,29,1494.0,36,100,0.36,91,19,51,0.373,0.455
1631123,Jamaree Bouyea,1610612756,PHX,36,18,18,527.0,26,71,0.366,61,9,27,0.333,0.43
201935,James Harden,1610612739,CLE,60,33,27,2097.0,191,499,0.383,516,134,375,0.357,0.517
1630164,James Wiseman,1610612754,IND,4,0,4,58.0,0,0,,0,,,,
1642364,Jamir Watkins,1610612764,WAS,37,9,28,699.0,4,12,0.333,10,2,7,0.286,0.417
1642419,Jamison Battle,1610612761,TOR,50,29,21,440.0,4,15,0.267,11,3,9,0.333,0.367
1641716,Jarace Walker,1610612754,IND,69,14,55,1765.0,59,174,0.339,139,21,76,0.276,0.399
1642272,Jared McCain,1610612760,OKC,55,37,18,958.0,58,143,0.406,141,25,72,0.347,0.493
1628991,Jaren Jackson Jr.,1610612762,UTA,48,19,29,1455.0,55,143,0.385,116,6,27,0.222,0.406
1629020,Jarred Vanderbilt,1610612747,LAL,55,33,22,978.0,0,0,,0,0,0,,
