PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,OFFENSE,DEFENSE,FULL,SHOOTING,TURNOVERS,REBOUNDS,CREATION,ONBALLDEF,GAMESPLAYED,MINUTES,PTS,REB,AST
1629652,Luguentz,Dort,1610612760,OKC,Thunder,Oklahoma City,-0.0852310344,0.1600724137,0.0748448275,-0.0397431034,-0.0508448275,0.0410551724,0.0397310344,0.0388275862,58,27.8,8.5,3.8,1.3
1629611,Terance,Mann,1610612751,BKN,Nets,Brooklyn,-0.0292775862,0.1032793103,0.0740034482,-0.0084724137,-0.0635741379,0.024975862,0.0716413793,0.0313724137,58,24.4,7.3,3.2,3.1
1629008,Michael,Porter Jr.,1610612751,BKN,Nets,Brooklyn,-0.077401923,0.1508307692,0.0734288461,0.0218057692,-0.1403326923,0.0611980769,0.0792134615,0.0311653846,52,32.5,24.2,7.1,3.0
1642377,Jaylen,Wells,1610612763,MEM,Grizzlies,Memphis,-0.0670742424,0.138890909,0.0718060606,-0.0243757575,-0.0612227272,0.0327863636,0.0472363636,0.0394121212,66,26.6,12.8,3.3,1.6
1630551,Justin,Champagnie,1610612764,WAS,Wizards,Washington,-0.0232966666,0.0945616666,0.0712783333,-0.0067,-0.0305283333,0.0418883333,0.0202866666,0.0281416666,60,19.4,8.4,5.6,1.1
1641706,Brandon,Miller,1610612766,CHA,Hornets,Charlotte,-0.1098796226,0.1809967924,0.0711171698,-0.01086,-0.1525549056,0.0454601886,0.0820537735,0.065920566,53,30.1,20.4,5.0,3.5
1642856,Egor,Dëmin,1610612751,BKN,Nets,Brooklyn,-0.0293538461,0.0999596153,0.0705980769,0.0052038461,-0.0721596153,0.0272903846,0.0747134615,0.0238173076,52,25.1,10.3,3.2,3.3
1642450,Daniss,Jenkins,1610612765,DET,Pistons,Detroit,-0.0135279661,0.0836452542,0.070118983,-0.01878,-0.0610525423,0.0162061016,0.0816510169,0.0238698305,59,17.6,7.7,1.9,3.2
203924,Jerami,Grant,1610612757,POR,Trail Blazers,Portland,-0.0681129629,0.1375037037,0.0693944444,0.019937037,-0.1310111111,0.0322185185,0.0770166666,0.0367574074,54,29.9,18.5,3.5,2.2
1630538,Bones,Hyland,1610612750,MIN,Timberwolves,Minnesota,0.0023639344,0.0656590163,0.0680295081,0.0128,-0.0498409836,0.0127131147,0.0541409836,0.0205639344,61,15.2,7.6,1.6,2.6
1642883,Sion,James,1610612766,CHA,Hornets,Charlotte,-0.0513075714,0.1189861428,0.0676771428,-0.0165615714,-0.0505065714,0.0324127142,0.0414018571,0.0338608571,70,23.0,5.4,3.5,2.0
1628370,Malik,Monk,1610612758,SAC,Kings,Sacramento,-0.0186542592,0.0862942592,0.0676362962,-0.0010681481,-0.0578446296,0.0145296296,0.0651953703,0.0236201851,54,21.9,12.4,1.9,2.7
1627747,Caris,LeVert,1610612765,DET,Pistons,Detroit,-0.0484228571,0.1136524489,0.0652377551,-0.0249912244,-0.0724140816,0.0166142857,0.0717187755,0.0424055102,49,19.4,7.4,1.9,2.7
1642266,Ja'Kobe,Walter,1610612761,TOR,Raptors,Toronto,-0.0301137931,0.0948068965,0.0646948275,-0.0090137931,-0.02665,0.0204,0.0264431034,0.0289551724,58,18.8,6.6,2.4,1.1
1642864,Hugo,González,1610612738,BOS,Celtics,Boston,-0.0234609375,0.0880765625,0.0646140625,-0.005546875,-0.0213375,0.02749375,0.01145625,0.02845625,64,15.3,4.0,3.5,0.6
1631165,Keon,Ellis,1610612739,CLE,Cavaliers,Cleveland,-0.033584918,0.0975934426,0.0640085245,-0.0070362295,-0.0264511475,0.0134281967,0.0200668852,0.0413755737,61,19.6,6.2,1.8,0.9
1642366,Quinten,Post,1610612744,GSW,Warriors,Golden State,-0.0490876923,0.113,0.0639107692,-0.0209584615,-0.04998,0.0359123076,0.0389184615,0.0372584615,65,17.6,7.8,4.1,1.4
1631243,Mouhamed,Gueye,1610612737,ATL,Hawks,Atlanta,-0.0199292307,0.0836153846,0.0636938461,-0.0135923076,-0.0214753846,0.0248538461,0.0218507692,0.0286230769,65,15.3,4.5,3.6,0.9
1631248,Baylor,Scheierman,1610612738,BOS,Celtics,Boston,-0.0170828125,0.0804796875,0.0634046875,-0.002496875,-0.0237078125,0.0238203125,0.0271359375,0.0175875,64,17.5,4.9,3.5,1.3
1629750,Javonte,Green,1610612765,DET,Pistons,Detroit,-0.0288575362,0.0917101449,0.0628526086,-0.0202642028,-0.0285507246,0.0235710144,0.0290405797,0.0272594202,69,17.7,6.8,2.7,0.7
