PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
1630577,Julian Champagnie,1610612759,SAS,70,52,18,1949.0,2625,21,5,7,0.714,4,4,1.0,14,0.667,9,0.429,0,0.0,2,0.095,2,0.095
1641763,Julian Phillips,1610612750,MIN,42,16,26,363.0,317,3,1,2,0.5,0,0,0.0,2,0.667,0,0.0,0,0.0,1,0.333,0,0.0
1642882,Julian Reese,1610612764,WAS,5,0,5,148.0,189,25,4,7,0.571,4,4,1.0,12,0.48,10,0.4,0,0.0,3,0.12,2,0.08
1631124,Julian Strawther,1610612743,DEN,46,27,19,691.0,966,9,1,3,0.333,1,2,0.5,3,0.333,3,0.333,0,0.0,1,0.111,1,0.111
203944,Julius Randle,1610612750,MIN,70,43,27,2309.0,4249,138,33,54,0.611,15,18,0.833,87,0.63,61,0.442,17,0.279,8,0.058,9,0.065
1630551,Justin Champagnie,1610612764,WAS,60,13,47,1167.0,1726,32,8,15,0.533,3,4,0.75,21,0.656,12,0.375,3,0.25,3,0.094,2,0.063
1642348,Justin Edwards,1610612755,PHI,52,30,22,794.0,1142,9,1,5,0.2,1,2,0.5,3,0.333,3,0.333,0,0.0,0,0.0,1,0.111
203994,Jusuf Nurkić,1610612762,UTA,41,14,27,1083.0,2372,123,42,71,0.592,7,16,0.438,92,0.748,36,0.293,11,0.306,6,0.049,8,0.065
1642354,KJ Simpson,1610612743,DEN,17,7,10,246.0,540,4,1,1,1.0,0,0,0.0,2,0.5,2,0.5,0,0.0,0,0.0,0,0.0
1642955,Kadary Richmond,1610612764,WAS,3,2,1,67.0,85,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
