PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
1630193,Immanuel Quickley,1610612761,TOR,65,38,27,2114.0,3594,3960,393,32,53,676,987,478,0.109,0.133
1642403,Isaac Jones,1610612765,DET,5,3,2,24.0,9,6,1,0,2,0,2,3,0.111,0.333
1630171,Isaac Okoro,1610612741,CHI,55,25,30,1480.0,1092,1104,87,10,12,172,236,109,0.08,0.1
1642268,Isaiah Collier,1610612762,UTA,59,16,43,1517.0,3144,3255,423,46,32,800,1128,501,0.135,0.159
1642384,Isaiah Crawford,1610612745,HOU,11,5,6,67.0,33,25,4,0,0,4,9,4,0.121,0.121
1628392,Isaiah Hartenstein,1610612760,OKC,38,31,7,951.0,1421,998,137,11,8,212,339,155,0.096,0.109
1630543,Isaiah Jackson,1610612746,LAC,51,16,35,838.0,774,570,46,9,9,87,118,64,0.059,0.083
1630198,Isaiah Joe,1610612760,OKC,61,47,14,1335.0,1160,1308,87,11,23,183,236,121,0.075,0.104
1630587,Isaiah Livers,1610612756,PHX,34,20,14,333.0,270,198,21,1,1,37,58,23,0.078,0.085
1641815,Isaiah Stevens,1610612758,SAC,3,0,3,43.0,82,71,10,0,0,16,25,10,0.122,0.122
1630191,Isaiah Stewart,1610612765,DET,55,39,16,1273.0,921,900,66,8,6,120,172,80,0.072,0.087
1627826,Ivica Zubac,1610612754,IND,48,17,31,1447.0,1615,1372,105,5,22,199,262,131,0.065,0.081
1631120,JD Davison,1610612745,HOU,25,20,5,184.0,265,243,28,2,2,43,65,32,0.106,0.121
1629630,Ja Morant,1610612763,MEM,20,7,13,568.0,924,1195,161,16,19,299,413,195,0.174,0.211
1642266,Ja'Kobe Walter,1610612761,TOR,58,34,24,1096.0,923,776,61,3,8,107,155,72,0.066,0.078
1631095,Jabari Smith Jr.,1610612745,HOU,64,38,26,2238.0,2230,1848,118,8,20,204,306,146,0.053,0.065
1631133,Jabari Walker,1610612755,PHI,56,31,25,701.0,579,474,29,4,7,53,77,40,0.05,0.069
1631210,Jacob Toppin,1610612737,ATL,5,3,2,17.0,28,22,1,0,0,3,3,1,0.036,0.036
1630702,Jaden Hardy,1610612764,WAS,48,12,36,709.0,581,796,42,1,8,72,99,51,0.072,0.088
1631093,Jaden Ivey,1610612741,CHI,37,23,14,670.0,767,827,68,5,8,123,172,81,0.089,0.106
1630183,Jaden McDaniels,1610612750,MIN,68,41,27,2152.0,2169,2120,189,27,37,310,503,253,0.087,0.117
1630256,Jae'Sean Tate,1610612745,HOU,34,24,10,287.0,273,230,17,0,3,32,43,20,0.062,0.073
1642942,Jahmai Mashack,1610612763,MEM,24,9,15,449.0,478,435,32,2,7,69,81,41,0.067,0.086
1642443,Jahmir Young,1610612748,MIA,11,8,3,51.0,85,102,6,1,4,16,17,11,0.071,0.129
1643141,Jahmyl Telfort,1610612746,LAC,8,2,6,32.0,23,15,1,0,0,3,3,1,0.043,0.043
1631170,Jaime Jaquez Jr.,1610612748,MIA,64,36,28,1830.0,3172,3020,305,43,39,584,836,387,0.096,0.122
1631222,Jake LaRavia,1610612747,LAL,70,45,25,1732.0,1923,1420,129,12,15,186,335,155,0.067,0.081
1627751,Jakob Poeltl,1610612761,TOR,33,20,13,845.0,940,674,69,4,10,86,165,82,0.073,0.087
1628973,Jalen Brunson,1610612752,NYK,64,43,21,2231.0,4075,4607,423,27,80,755,1087,530,0.104,0.13
1631105,Jalen Duren,1610612765,DET,59,41,18,1637.0,1865,1370,98,11,12,180,238,120,0.053,0.064
1630224,Jalen Green,1610612756,PHX,22,12,10,561.0,567,843,58,5,15,111,157,78,0.102,0.138
1630552,Jalen Johnson,1610612737,ATL,62,36,26,2187.0,4010,3419,504,43,31,897,1304,578,0.126,0.144
1629618,Jalen Pickett,1610612743,DEN,44,28,16,736.0,1046,982,104,12,5,212,277,122,0.099,0.117
1641771,Jalen Slawson,1610612754,IND,5,0,5,128.0,161,118,15,1,0,22,41,16,0.093,0.099
1630188,Jalen Smith,1610612741,CHI,51,25,26,1064.0,1274,1105,63,4,13,100,163,80,0.049,0.063
