PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
1642938,Curtis Jones,1610612743,DEN,6,4,2,31.0,9,2,0.5,5,0.286,0,0.0,2,1.0,0,0.0,2,1.0,0.321
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,264,100,0.52,56,0.322,103,0.373,6,0.5,2,1.0,0,0.0,0.476
1641747,DaRon Holmes II,1610612743,DEN,19,11,8,194.0,83,4,0.667,55,0.452,3,1.0,7,0.333,0,0.0,0,0.0,0.661
1631342,Daeqwon Plowden,1610612758,SAC,21,6,15,514.0,181,15,0.267,87,0.299,9,0.5,34,0.714,0,0.0,14,0.667,0.491
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,10,8,0.375,0,0.0,2,1.0,2,1.0,0,0.0,0,0.0,0.444
1631207,Dalen Terry,1610612755,PHI,43,18,25,511.0,160,35,0.4,57,0.365,14,0.385,10,0.417,0,0.0,7,1.0,0.518
1642261,Dalton Knecht,1610612747,LAL,48,29,19,509.0,201,48,0.553,81,0.325,44,0.455,24,0.625,0,0.0,8,0.8,0.537
1629655,Daniel Gafford,1610612742,DAL,49,11,38,1062.0,455,40,0.484,4,0.667,4,0.4,317,0.709,24,0.647,66,0.643,0.656
1642450,Daniss Jenkins,1610612765,DET,59,44,15,1040.0,455,152,0.39,112,0.447,106,0.308,27,0.75,0,0.0,6,0.333,0.458
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,491,141,0.462,165,0.322,40,0.294,70,0.615,6,0.333,20,0.462,0.483
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,5,0,0.0,3,0.333,0,0.0,0,0.0,0,0.0,0,0.0,0.25
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,619,210,0.476,125,0.396,219,0.408,12,0.667,0,0.0,6,1.0,0.54
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,32,19,0.533,3,0.333,6,0.667,2,0.5,0,0.0,0,0.0,0.58
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,2,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,534,241,0.547,164,0.41,105,0.439,4,0.5,0,0.0,4,0.667,0.568
