PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1630171,Isaac Okoro,1610612741,CHI,55,25,30,1480.0,55,167,0.329,165,55,167,0.329,0.494
1642268,Isaiah Collier,1610612762,UTA,59,16,43,1517.0,15,62,0.242,44,14,61,0.23,0.355
1642384,Isaiah Crawford,1610612745,HOU,11,5,6,67.0,2,7,0.286,6,2,7,0.286,0.429
1628392,Isaiah Hartenstein,1610612760,OKC,38,31,7,951.0,19,42,0.452,38,0,6,0.0,0.452
1630543,Isaiah Jackson,1610612746,LAC,51,16,35,838.0,0,4,0.0,0,0,2,0.0,0.0
1630198,Isaiah Joe,1610612760,OKC,61,47,14,1335.0,132,311,0.424,392,128,303,0.422,0.63
1630587,Isaiah Livers,1610612756,PHX,34,20,14,333.0,11,33,0.333,33,11,32,0.344,0.5
1641815,Isaiah Stevens,1610612758,SAC,3,0,3,43.0,0,2,0.0,0,0,1,0.0,0.0
1630191,Isaiah Stewart,1610612765,DET,55,39,16,1273.0,37,110,0.336,109,35,106,0.33,0.495
1627826,Ivica Zubac,1610612754,IND,48,17,31,1447.0,14,25,0.56,28,,,,0.56
1631120,JD Davison,1610612745,HOU,25,20,5,184.0,6,20,0.3,18,6,20,0.3,0.45
1629630,Ja Morant,1610612763,MEM,20,7,13,569.0,11,35,0.314,32,10,33,0.303,0.457
1642266,Ja'Kobe Walter,1610612761,TOR,58,34,24,1096.0,69,183,0.377,207,69,183,0.377,0.566
1631095,Jabari Smith Jr.,1610612745,HOU,64,38,26,2238.0,131,358,0.366,385,123,338,0.364,0.538
1631133,Jabari Walker,1610612755,PHI,57,32,25,707.0,30,87,0.345,90,30,86,0.349,0.517
1631210,Jacob Toppin,1610612737,ATL,5,3,2,17.0,0,0,,0,,,,
1630702,Jaden Hardy,1610612764,WAS,48,12,36,709.0,55,146,0.377,165,55,146,0.377,0.565
1631093,Jaden Ivey,1610612741,CHI,37,23,14,670.0,40,105,0.381,119,39,102,0.382,0.567
1630183,Jaden McDaniels,1610612750,MIN,68,41,27,2152.0,73,157,0.465,216,70,151,0.464,0.688
1630256,Jae'Sean Tate,1610612745,HOU,34,24,10,287.0,7,21,0.333,21,7,21,0.333,0.5
1642942,Jahmai Mashack,1610612763,MEM,24,9,15,449.0,14,46,0.304,42,14,45,0.311,0.457
1642443,Jahmir Young,1610612748,MIA,11,8,3,51.0,2,7,0.286,6,2,7,0.286,0.429
1643141,Jahmyl Telfort,1610612746,LAC,8,2,6,32.0,0,3,0.0,0,0,3,0.0,0.0
1631170,Jaime Jaquez Jr.,1610612748,MIA,64,36,28,1830.0,41,126,0.325,118,36,119,0.303,0.468
1631222,Jake LaRavia,1610612747,LAL,70,45,25,1732.0,60,190,0.316,180,60,189,0.317,0.474
1627751,Jakob Poeltl,1610612761,TOR,33,20,13,845.0,15,35,0.429,30,,,,0.429
1628973,Jalen Brunson,1610612752,NYK,64,43,21,2231.0,86,205,0.42,256,84,199,0.422,0.624
1631105,Jalen Duren,1610612765,DET,59,41,18,1637.0,1,10,0.1,2,,,,0.1
1630224,Jalen Green,1610612756,PHX,22,12,10,561.0,24,76,0.316,72,24,74,0.324,0.474
1630552,Jalen Johnson,1610612737,ATL,62,36,26,2187.0,82,197,0.416,235,71,175,0.406,0.596
1629618,Jalen Pickett,1610612743,DEN,44,28,16,736.0,37,90,0.411,106,32,76,0.421,0.589
1641771,Jalen Slawson,1610612754,IND,5,0,5,128.0,6,19,0.316,18,6,19,0.316,0.474
1630188,Jalen Smith,1610612741,CHI,51,25,26,1064.0,79,216,0.366,235,77,206,0.374,0.544
1630591,Jalen Suggs,1610612753,ORL,46,27,19,1234.0,68,174,0.391,204,68,172,0.395,0.586
1631114,Jalen Williams,1610612760,OKC,26,19,7,755.0,15,42,0.357,45,15,41,0.366,0.536
1630592,Jalen Wilson,1610612751,BKN,45,8,37,638.0,44,120,0.367,132,44,120,0.367,0.55
1631288,Jamal Cain,1610612753,ORL,27,15,12,215.0,11,29,0.379,32,10,27,0.37,0.552
1627750,Jamal Murray,1610612743,DEN,65,38,27,2273.0,78,175,0.446,230,74,171,0.433,0.657
1642347,Jamal Shead,1610612761,TOR,68,39,29,1494.0,54,171,0.316,160,52,167,0.311,0.468
1631123,Jamaree Bouyea,1610612756,PHX,36,18,18,527.0,9,34,0.265,27,9,34,0.265,0.397
201935,James Harden,1610612739,CLE,60,33,27,2097.0,49,124,0.395,147,49,120,0.408,0.593
1630164,James Wiseman,1610612754,IND,4,0,4,58.0,0,1,0.0,0,,,,0.0
1642364,Jamir Watkins,1610612764,WAS,37,9,28,699.0,27,89,0.303,81,27,89,0.303,0.455
1642419,Jamison Battle,1610612761,TOR,50,29,21,440.0,28,61,0.459,82,26,59,0.441,0.672
1641716,Jarace Walker,1610612754,IND,69,14,55,1765.0,93,237,0.392,278,92,233,0.395,0.586
1642272,Jared McCain,1610612760,OKC,55,37,18,958.0,60,139,0.432,180,60,137,0.438,0.647
