player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts,q1_pure_ts,q1_sp,q1_std_ts,q1_delta,q2_pure_ts,q2_sp,q2_std_ts,q2_delta,q3_pure_ts,q3_sp,q3_std_ts,q3_delta,q4_pure_ts,q4_sp,q4_std_ts,q4_delta,q1_pts,q1_fgm,q1_fga,q1_fg3m,q1_fg3a,q1_ftm,q1_fta,q2_pts,q2_fgm,q2_fga,q2_fg3m,q2_fg3a,q2_ftm,q2_fta,q3_pts,q3_fgm,q3_fga,q3_fg3m,q3_fg3a,q3_ftm,q3_fta,q4_pts,q4_fgm,q4_fga,q4_fg3m,q4_fg3a,q4_ftm,q4_fta
1630173,Precious Achiuwa,TOR,0022100810,"Feb 07, 2022",CHA,5,3,4,5,45.45,52.52,-7.07,2,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,3,54.35,-4.35,,0,,,40.0,2,50.0,-10.0,,0,,,3,0,1,0,0,3,4,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100827,"Feb 09, 2022",OKC,4,7,0,7,26.67,28.57,-1.9,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,,0.0,2,0.0,0.0,40.0,5,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,2,5,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100834,"Feb 10, 2022",HOU,6,3,2,4,75.0,77.32,-2.32,3,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2,100.0,0.0,,0,,,50.0,2,53.19,-3.19,,0,,,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100850,"Feb 12, 2022",DEN,0,2,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,,0,,,,0,,,,0,,,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100863,"Feb 14, 2022",NOP,6,4,4,6,46.15,52.08,-5.93,3,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,60.0,2,75.0,-15.0,,0,,,37.5,4,39.89,-2.39,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,4
1630173,Precious Achiuwa,TOR,0022100880,"Feb 16, 2022",MIN,11,9,0,9,52.38,61.11,-8.73,6,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,2,50.0,0.0,,0,,,57.14,3,66.67,-9.52,50.0,4,62.5,-12.5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,1,0,0,5,2,4,1,2,0,0
1630173,Precious Achiuwa,TOR,0022100896,"Feb 25, 2022",CHA,9,8,7,11,36.0,40.61,-4.61,5,4,2,0,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2,26.6,-1.6,40.0,2,50.0,-10.0,33.33,3,33.33,0.0,40.0,4,47.62,-7.62,1,0,1,0,0,1,2,2,1,2,0,1,0,0,2,1,3,0,0,0,0,4,1,2,0,1,2,5
1630173,Precious Achiuwa,TOR,0022100906,"Feb 26, 2022",ATL,21,12,3,13,70.0,78.83,-8.83,8,10,3,6,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,3,116.28,-16.28,57.14,3,69.44,-12.3,71.43,3,83.33,-11.9,50.0,4,50.0,0.0,8,3,3,1,1,1,1,4,1,2,0,1,2,2,5,2,3,1,1,0,0,4,2,4,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100726,"Feb 28, 2022",BKN,20,14,3,15,55.56,65.27,-9.72,8,8,5,9,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,5,60.0,-10.0,66.67,3,66.67,0.0,53.33,6,68.03,-14.69,66.67,1,69.44,-2.78,6,2,5,2,2,0,0,4,2,3,0,0,0,0,8,3,5,1,3,1,2,2,1,1,0,0,0,1
1630173,Precious Achiuwa,TOR,0022100928,"Mar 01, 2022",BKN,4,7,0,7,26.67,28.57,-1.9,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,100.0,1,100.0,0.0,100.0,1,100.0,0.0,0.0,3,0.0,0.0,0,0,2,0,1,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,3,0,0,0,0
